************************************************************************************************************************************
 
                 Energy Levels and statistical weights for JNK
 
                         g          E(cm^-1)     10^15 Hz      eV        Lam(A)       ID      ARAD         C4          C6
************************************************************************************************************************************
 
17-Jun-2014                                      !Format date
11-Jan-2023                                      !Date
649                                              !Number of energy levels
221735.6000                                      !Ionization energy
3.0                                              !Screened nuclear charge
21774                                            !Number of transitions
 
3d4f_3Ho[6]            13.0     159269.530000     1.87269     7.745    1.601E+03      76   4.411E+08  -4.490E-16   2.260E-32
3d4f_3Do[1]             3.0     159394.890000     1.86893     7.729    1.604E+03      77   2.239E+09  -3.920E-16   2.340E-32
3d4f_3Do[2]             5.0     159403.910000     1.86866     7.728    1.604E+03      78   2.179E+09  -3.940E-16   2.330E-32
3d4f_3Do[3]             7.0     159481.950000     1.86632     7.718    1.606E+03      79   2.328E+09  -3.880E-16   2.340E-32
3d4f_3Po[2]             5.0     159991.540000     1.85104     7.655    1.620E+03      80   1.915E+09  -4.320E-16   2.380E-32
3d4f_1Ho[5]            11.0     160054.900000     1.84914     7.647    1.621E+03      81   3.006E+09  -3.330E-16   2.420E-32
3d4f_3Po[1]             3.0     160104.610000     1.84765     7.641    1.623E+03      82   1.840E+09  -4.350E-16   2.380E-32
3d4f_3Po[0]             1.0     160167.060000     1.84578     7.634    1.624E+03      83   1.798E+09  -4.370E-16   2.380E-32
3d4f_1Po[1]             3.0     161854.240000     1.79520     7.424    1.670E+03      84   1.938E+09  -5.790E-16   2.310E-32
3d5d_1Fe[3]             7.0     167724.090000     1.61922     6.697    1.851E+03      85   2.856E+08  -8.730E-16   4.760E-32
3d5d_3De[1]             3.0     167905.190000     1.61380     6.674    1.858E+03      86   2.877E+08  -8.650E-16   4.780E-32
3d5d_3De[2]             5.0     168030.150000     1.61005     6.659    1.862E+03      87   2.795E+08  -8.980E-16   4.780E-32
3d5d_3Ge[3]             7.0     168152.200000     1.60639     6.643    1.866E+03      88   3.159E+08  -9.800E-16   4.790E-32
3d5d_3De[3]             7.0     168206.790000     1.60475     6.637    1.868E+03      89   3.017E+08  -9.200E-16   4.780E-32
3d5d_3Ge[4]             9.0     168307.060000     1.60175     6.624    1.872E+03      90   3.214E+08  -1.020E-15   4.800E-32
3d5d_1Pe[1]             3.0     168343.620000     1.60065     6.620    1.873E+03      91   2.574E+08  -6.400E-16   4.800E-32
3d5d_3Ge[5]            11.0     168520.520000     1.59535     6.598    1.879E+03      92   2.943E+08  -1.010E-15   4.800E-32
3d5d_3Se[1]             3.0     168932.830000     1.58299     6.547    1.894E+03      93   2.855E+08  -9.280E-16   4.850E-32
3d5d_3Fe[2]             5.0     169615.120000     1.56253     6.462    1.919E+03      94   5.588E+08  -1.960E-15   5.120E-32
3d5d_3Fe[3]             7.0     169769.130000     1.55792     6.443    1.924E+03      95   5.114E+08  -1.830E-15   5.040E-32
3d6s_3De[1]             3.0     169875.520000     1.55473     6.430    1.928E+03      96   6.560E+08  -4.360E-15   6.210E-32
3d5d_3Fe[4]             9.0     169912.110000     1.55363     6.425    1.930E+03      97   5.152E+08  -1.830E-15   5.040E-32
