************************************************************************************************************************************
 
                 Energy levels and statistical weights for hope
                 Altered: 20-Nov-2018 - f values for 7 "weak" transitions fixed.
 
                g          E(cm^-1)     10^15 Hz      eV        Lam(A)       ID      ARAD         C4          C6
************************************************************************************************************************************
 
17-Jun-2014                                      !Format date
20-Nov-2018                                      !Date
162                                              !Number of energy levels
49305.0000                                       !Ionization energy
1.0                                              !Screened nuclear charge
3349                                             !Number of transitions
 
4s8z1Z        28.0      47590.377961     0.05140     0.213    5.832E+04      76   4.325E+05   0.000E+00   0.000E+00
4s10p3Po       9.0      47605.260000     0.05096     0.211    5.883E+04      77   4.573E+05   0.000E+00   0.000E+00
4s10p1Po       3.0      47662.100000     0.04925     0.204    6.087E+04      78   1.046E+07   0.000E+00   0.000E+00
4s9d3De       15.0      47758.546000     0.04636     0.192    6.466E+04      79   8.983E+06   0.000E+00   0.000E+00
4s11s3Se       3.0      47806.200000     0.04493     0.186    6.672E+04      80   2.470E+06   0.000E+00   0.000E+00
4s9d1De        5.0      47812.390000     0.04475     0.185    6.700E+04      81   7.210E+06   0.000E+00   0.000E+00
4s11s1Se       1.0      47843.760000     0.04381     0.181    6.844E+04      82   3.190E+06   0.000E+00   0.000E+00
4s9f3Fo       21.0      47921.961000     0.04146     0.171    7.230E+04      83   3.803E+06   0.000E+00   0.000E+00
4s9f1Fo        7.0      47924.947000     0.04137     0.171    7.246E+04      84   4.661E+06   0.000E+00   0.000E+00
4s9g1Ge        9.0      47944.195608     0.04080     0.169    7.349E+04      85   3.396E+08   0.000E+00   0.000E+00
4s9g3Ge       27.0      47944.195608     0.04080     0.169    7.349E+04      86   2.868E+08   0.000E+00   0.000E+00
4s9h3Ho       33.0      47949.634590     0.04063     0.168    7.378E+04      87   5.157E+05   0.000E+00   0.000E+00
4s9h1Ho       11.0      47949.634590     0.04063     0.168    7.378E+04      88   5.207E+05   0.000E+00   0.000E+00
4s9z3Z       135.0      47950.236908     0.04061     0.168    7.381E+04      89   2.667E+05   0.000E+00   0.000E+00
4s9z1Z        45.0      47950.236908     0.04061     0.168    7.381E+04      90   2.667E+05   0.000E+00   0.000E+00
4s11p3Po       9.0      47961.200000     0.04029     0.167    7.442E+04      91   3.006E+05   0.000E+00   0.000E+00
4s11p1Po       3.0      47997.490000     0.03920     0.162    7.648E+04      92   6.188E+06   0.000E+00   0.000E+00
4s10d3De      15.0      48033.674000     0.03811     0.158    7.866E+04      93   7.534E+06   0.000E+00   0.000E+00
4s10d1De       5.0      48083.410000     0.03662     0.151    8.186E+04      94   4.747E+06   0.000E+00   0.000E+00
4s12s3Se       3.0      48104.020000     0.03600     0.149    8.327E+04      95   1.780E+06   0.000E+00   0.000E+00
4s12s1Se       1.0      48130.750000     0.03520     0.146    8.516E+04      96   2.203E+06   0.000E+00   0.000E+00
4s10f3Fo      21.0      48187.079000     0.03351     0.139    8.945E+04      97   2.764E+06   0.000E+00   0.000E+00
4s10f1Fo       7.0      48188.990000     0.03346     0.138    8.960E+04      98   3.356E+06   0.000E+00   0.000E+00
4s10g1Ge       9.0      48202.200000     0.03306     0.137    9.068E+04      99   7.317E+05   0.000E+00   0.000E+00
4s10g3Ge      27.0      48203.239259     0.03303     0.137    9.076E+04     100   8.101E+08   0.000E+00   0.000E+00
4s10h3Ho      33.0      48207.202820     0.03291     0.136    9.109E+04     101   3.786E+05   0.000E+00   0.000E+00
4s10z3Z      192.0      48207.641895     0.03290     0.136    9.113E+04     102   1.725E+05   0.000E+00   0.000E+00
4s10z1Z       64.0      48207.641895     0.03290     0.136    9.113E+04     103   1.725E+05   0.000E+00   0.000E+00
4s10h1Ho      11.0      48208.000000     0.03289     0.136    9.116E+04     104   3.803E+05   0.000E+00   0.000E+00
4s11d3De      15.0      48259.143000     0.03135     0.130    9.562E+04     105   5.890E+06   0.000E+00   0.000E+00
4s11d1De       5.0      48290.850000     0.03040     0.126    9.860E+04     106   3.179E+06   0.000E+00   0.000E+00
4s11z3Z      255.0      48398.092475     0.02719     0.112    1.103E+05     107   1.160E+05   0.000E+00   0.000E+00
4s11z1Z       85.0      48398.092475     0.02719     0.112    1.103E+05     108   1.160E+05   0.000E+00   0.000E+00
4s11g3Ge      27.0      48398.092475     0.02719     0.112    1.103E+05     109   4.813E+05   0.000E+00   0.000E+00
4s11g1Ge       9.0      48398.092475     0.02719     0.112    1.103E+05     110   4.623E+05   0.000E+00   0.000E+00
4s11f1Fo       7.0      48398.092475     0.02719     0.112    1.103E+05     111   1.867E+06   0.000E+00   0.000E+00
4s11f3Fo      21.0      48398.092475     0.02719     0.112    1.103E+05     112   2.086E+06   0.000E+00   0.000E+00
4s11h1Ho      11.0      48398.356245     0.02718     0.112    1.103E+05     113   2.860E+05   0.000E+00   0.000E+00
4s11h3Ho      33.0      48398.356245     0.02718     0.112    1.103E+05     114   2.856E+05   0.000E+00   0.000E+00
4s12z3Z      324.0      48542.945761     0.02285     0.094    1.312E+05     115   8.060E+04   0.000E+00   0.000E+00
4s12z1Z      108.0      48542.945761     0.02285     0.094    1.312E+05     116   8.058E+04   0.000E+00   0.000E+00
4s12h1Ho      11.0      48542.945761     0.02285     0.094    1.312E+05     117   2.193E+05   0.000E+00   0.000E+00
4s12h3Ho      33.0      48542.945761     0.02285     0.094    1.312E+05     118   2.191E+05   0.000E+00   0.000E+00
4s12g3Ge      27.0      48542.945761     0.02285     0.094    1.312E+05     119   3.647E+05   0.000E+00   0.000E+00
4s12g1Ge       9.0      48542.945761     0.02285     0.094    1.312E+05     120   3.516E+05   0.000E+00   0.000E+00
4s12f1Fo       7.0      48542.945761     0.02285     0.094    1.312E+05     121   1.333E+06   0.000E+00   0.000E+00
4s12f3Fo      21.0      48542.945761     0.02285     0.094    1.312E+05     122   1.472E+06   0.000E+00   0.000E+00
4s12d1De       5.0      48542.945761     0.02285     0.094    1.312E+05     123   1.982E+06   0.000E+00   0.000E+00
4s12d3De      15.0      48542.945761     0.02285     0.094    1.312E+05     124   2.205E+06   0.000E+00   0.000E+00
4s12p3Po       9.0      48542.945761     0.02285     0.094    1.312E+05     125   1.002E+06   0.000E+00   0.000E+00
4s12p1Po       3.0      48542.945761     0.02285     0.094    1.312E+05     126   3.646E+06   0.000E+00   0.000E+00
4s13w1W      169.0      48655.675678     0.01947     0.081    1.540E+05     127   2.018E+05   0.000E+00   0.000E+00
4s13w3W      507.0      48655.675678     0.01947     0.081    1.540E+05     128   2.962E+05   0.000E+00   0.000E+00
4s14w3W      588.0      48745.123416     0.01678     0.069    1.786E+05     129   1.904E+05   0.000E+00   0.000E+00
4s14w1W      196.0      48745.123416     0.01678     0.069    1.786E+05     130   1.367E+05   0.000E+00   0.000E+00
4s15w3W      675.0      48817.285287     0.01462     0.060    2.050E+05     131   1.306E+05   0.000E+00   0.000E+00
4s15w1W      225.0      48817.285287     0.01462     0.060    2.050E+05     132   9.650E+04   0.000E+00   0.000E+00
4s16w3W      768.0      48876.344490     0.01285     0.053    2.333E+05     133   9.304E+04   0.000E+00   0.000E+00
4s16w1W      256.0      48876.344490     0.01285     0.053    2.333E+05     134   7.008E+04   0.000E+00   0.000E+00
4s17w3W      867.0      48925.291313     0.01138     0.047    2.634E+05     135   6.814E+04   0.000E+00   0.000E+00
4s17w1W      289.0      48925.291313     0.01138     0.047    2.634E+05     136   5.206E+04   0.000E+00   0.000E+00
4s18w3W      972.0      48966.309227     0.01015     0.042    2.953E+05     137   5.103E+04   0.000E+00   0.000E+00
4s18w1W      324.0      48966.309227     0.01015     0.042    2.953E+05     138   3.943E+04   0.000E+00   0.000E+00
4s19w3W     1083.0      49001.022686     0.00911     0.038    3.290E+05     139   3.893E+04   0.000E+00   0.000E+00
4s19w1W      361.0      49001.022686     0.00911     0.038    3.290E+05     140   3.036E+04   0.000E+00   0.000E+00
4s20w3W     1200.0      49030.660474     0.00822     0.034    3.645E+05     141   3.017E+04   0.000E+00   0.000E+00
4s20w1W      400.0      49030.660474     0.00822     0.034    3.645E+05     142   2.371E+04   0.000E+00   0.000E+00
4s21w3W     1323.0      49056.165963     0.00746     0.031    4.019E+05     143   2.371E+04   0.000E+00   0.000E+00
4s21w1W      441.0      49056.165963     0.00746     0.031    4.019E+05     144   1.876E+04   0.000E+00   0.000E+00
4s22w3W     1452.0      49078.273119     0.00680     0.028    4.411E+05     145   1.886E+04   0.000E+00   0.000E+00
4s22w1W      484.0      49078.273119     0.00680     0.028    4.411E+05     146   1.501E+04   0.000E+00   0.000E+00
4s23w3W     1587.0      49097.559905     0.00622     0.026    4.821E+05     147   1.517E+04   0.000E+00   0.000E+00
4s23w1W      529.0      49097.559905     0.00622     0.026    4.821E+05     148   1.214E+04   0.000E+00   0.000E+00
4s24w3W     1728.0      49114.486440     0.00571     0.024    5.249E+05     149   1.233E+04   0.000E+00   0.000E+00
4s24w1W      576.0      49114.486440     0.00571     0.024    5.249E+05     150   9.903E+03   0.000E+00   0.000E+00
4s25w3W     1875.0      49129.422703     0.00526     0.022    5.695E+05     151   1.010E+04   0.000E+00   0.000E+00
4s25w1W      625.0      49129.422703     0.00526     0.022    5.695E+05     152   8.151E+03   0.000E+00   0.000E+00
4s26w3W     2028.0      49142.668919     0.00487     0.020    6.160E+05     153   8.350E+03   0.000E+00   0.000E+00
4s26w1W      676.0      49142.668919     0.00487     0.020    6.160E+05     154   6.761E+03   0.000E+00   0.000E+00
4s27w3W     2187.0      49154.470768     0.00451     0.019    6.643E+05     155   6.953E+03   0.000E+00   0.000E+00
4s27w1W      729.0      49154.470768     0.00451     0.019    6.643E+05     156   5.648E+03   0.000E+00   0.000E+00
4s28w3W     2352.0      49165.030854     0.00420     0.017    7.144E+05     157   5.830E+03   0.000E+00   0.000E+00
4s28w1W      784.0      49165.030854     0.00420     0.017    7.144E+05     158   4.750E+03   0.000E+00   0.000E+00
4s29w3W     2523.0      49174.517467     0.00391     0.016    7.664E+05     159   4.919E+03   0.000E+00   0.000E+00
4s29w1W      841.0      49174.517467     0.00391     0.016    7.664E+05     160   4.020E+03   0.000E+00   0.000E+00
4s30w3W     2700.0      49183.071322     0.00366     0.015    8.202E+05     161   4.175E+03   0.000E+00   0.000E+00
4s30w1W      900.0      49183.071322     0.00366     0.015    8.202E+05     162   3.421E+03   0.000E+00   0.000E+00


************************************************************************************************************************************

                        Oscillator strengths for HOPE      
                        All wavelengths are vacuum.
                        First listed wavelength is Ritz wavelength.

************************************************************************************************************************************

  Transition              f           A          Lam(A)        i-j Trans. #           Lam(obs)    % Acc

4s21Se  -4s4p3Po       5.400E-05   9.281E+02    6566.864     1-   2       1   |               |        |
4s21Se  -3d4s1De       1.110E-06   7.069E+01    4576.736     1-   4       2   |               |        |
4s21Se  -4s4p1Po       1.890E+00   2.351E+08    4227.918     1-   5       3   |               |        |
4s21Se  -3d4p1Po       1.940E-02   5.765E+06    2735.410     1-  10       4   |               |        |
4s21Se  -4s5p3Po       7.600E-06   7.528E+02    2735.291     1-  11       5   |               |        |
4s21Se  -4s5p1Po       1.500E-03   4.500E+05    2722.450     1-  12       6   |               |        |
4s21Se  -4s4d1De       2.080E-06   3.860E+02    2681.088     1-  13       7   |               |        |
4s21Se  -4p21De        1.500E-07   3.318E+01    2455.805     1-  21       8   |               |        |
4s21Se  -4s6p1Po       1.050E-02   4.055E+06    2399.289     1-  22       9   |               |        |
4s21Se  -4s7p1Po       1.830E-02   8.396E+06    2201.414     1-  39      10   |               |        |
4s21Se  -4s8p1Po       1.960E-02   9.415E+06    2151.472     1-  51      11   |               |        |
4s21Se  -4s9p1Po       1.490E-02   7.376E+06    2119.346     1-  65      12   |               |        |
4s21Se  -4s10p1Po      9.610E-03   4.854E+06    2098.103     1-  78      13   |               |        |
4s21Se  -4s11p1Po      6.010E-03   3.078E+06    2083.442     1-  92      14   |               |        |
4s21Se  -4s12p1Po      4.683E-03   2.454E+06    2060.032     1- 126      15   |               |        |
4s21Se  -4s13w1W       3.543E-03   3.310E+04    2055.259     1- 127      16   |               |        |
4s21Se  -4s14w1W       2.752E-03   2.225E+04    2051.487     1- 130      17   |               |        |
4s21Se  -4s15w1W       2.184E-03   1.543E+04    2048.455     1- 132      18   |               |        |
4s21Se  -4s16w1W       1.765E-03   1.098E+04    2045.980     1- 134      19   |               |        |
4s21Se  -4s17w1W       1.448E-03   7.999E+03    2043.933     1- 136      20   |               |        |
4s21Se  -4s18w1W       1.203E-03   5.940E+03    2042.220     1- 138      21   |               |        |
4s21Se  -4s19w1W       1.012E-03   4.488E+03    2040.774     1- 140      22   |               |        |
4s21Se  -4s20w1W       8.592E-04   3.444E+03    2039.540     1- 142      23   |               |        |
4s21Se  -4s21w1W       7.361E-04   2.679E+03    2038.480     1- 144      24   |               |        |
4s21Se  -4s22w1W       6.357E-04   2.110E+03    2037.562     1- 146      25   |               |        |
4s21Se  -4s23w1W       5.529E-04   1.681E+03    2036.761     1- 148      26   |               |        |
4s21Se  -4s24w1W       4.840E-04   1.352E+03    2036.059     1- 150      27   |               |        |
4s21Se  -4s25w1W       4.262E-04   1.098E+03    2035.440     1- 152      28   |               |        |
4s21Se  -4s26w1W       3.773E-04   8.991E+02    2034.892     1- 154      29   |               |        |
